model,params,flops,input,acc_metrics,inference_qps,category,series,extra
MobileNetV3Small050,1.29,0.02492,224,57.89,2458.28,Recognition,MobileNetV3,
MobileNetV3Small075,2.04,0.04435,224,65.24,2286.44,Recognition,MobileNetV3,
MobileNetV3Small100,2.54,0.05762,224,67.66,2058.06,Recognition,MobileNetV3,
MobileNetV3Large075,3.99,0.15630000000000002,224,73.44,1643.78,Recognition,MobileNetV3,
MobileNetV3Large100,5.48,0.21872999999999998,224,75.77,1629.44,Recognition,MobileNetV3,
MobileNetV3Large100,5.48,0.21872999999999998,224,77.92,1629.44,Recognition,MobileNetV3,miil
MobileViT_XXS,1.3,0.42,256,69.0,1319.43,Recognition,MobileViT,
MobileViT_XS,2.3,1.05,256,74.7,1019.57,Recognition,MobileViT,
MobileViT_S,5.6,2.03,256,78.3,790.943,Recognition,MobileViT,
MobileViT_V2_050,1.37,0.47,256,70.18,718.337,Recognition,MobileViT_V2,
MobileViT_V2_075,2.87,1.04,256,75.56,642.323,Recognition,MobileViT_V2,
MobileViT_V2_100,4.9,1.83,256,78.09,591.217,Recognition,MobileViT_V2,
MobileViT_V2_125,7.48,2.84,256,79.65,510.25,Recognition,MobileViT_V2,
MobileViT_V2_150,10.6,4.07,256,80.38,466.482,Recognition,MobileViT_V2,
MobileViT_V2_150,10.6,4.07,256,81.46,466.482,Recognition,MobileViT_V2,21k_ft1k
MobileViT_V2_150,10.6,9.15,384,82.6,278.834,Recognition,MobileViT_V2,21k_ft1k
MobileViT_V2_175,14.3,5.52,256,80.84,412.759,Recognition,MobileViT_V2,
MobileViT_V2_175,14.3,5.52,256,81.94,412.759,Recognition,MobileViT_V2,21k_ft1k
MobileViT_V2_175,14.3,12.4,384,82.93,247.108,Recognition,MobileViT_V2,21k_ft1k
MobileViT_V2_200,18.4,7.12,256,81.17,394.325,Recognition,MobileViT_V2,
MobileViT_V2_200,18.4,7.12,256,82.36,394.325,Recognition,MobileViT_V2,21k_ft1k
MobileViT_V2_200,18.4,16.2,384,83.41,229.399,Recognition,MobileViT_V2,21k_ft1k
MogaNetXtiny,2.96,0.806,224,76.5,398.488,Recognition,MogaNet,
MogaNetTiny,5.2,1.11,224,79.0,362.409,Recognition,MogaNet,
MogaNetTiny,5.2,1.45,256,79.6,335.372,Recognition,MogaNet,
MogaNetSmall,25.3,4.98,224,83.4,249.807,Recognition,MogaNet,
MogaNetBase,43.7,9.96,224,84.2,133.071,Recognition,MogaNet,
MogaNetLarge,82.5,15.96,224,84.6,84.2045,Recognition,MogaNet,
NAT_Mini,20.0,2.73,224,81.8,85.2324,Recognition,NAT,
NAT_Tiny,27.9,4.34,224,83.2,62.6147,Recognition,NAT,
NAT_Small,50.7,7.84,224,83.7,41.1545,Recognition,NAT,
NAT_Base,89.8,13.76,224,84.3,30.8989,Recognition,NAT,
NFNetL0,35.07,7.13,288,82.75,,Recognition,NFNets,
NFNetF0,71.5,12.58,256,83.6,,Recognition,NFNets,
NFNetF1,132.6,35.95,320,84.7,,Recognition,NFNets,
NFNetF2,193.8,63.24,352,85.1,,Recognition,NFNets,
NFNetF3,254.9,115.75,416,85.7,,Recognition,NFNets,
NFNetF4,316.1,216.78,512,85.9,,Recognition,NFNets,
NFNetF5,377.2,291.73,544,86.0,,Recognition,NFNets,
NFNetF6,438.4,379.75,576,86.5,,Recognition,NFNets,sam
NFNetF7,499.5,481.8,608,,,Recognition,NFNets,
ECA_NFNetL0,24.14,7.12,288,82.58,,Recognition,NFNets,
ECA_NFNetL1,41.41,14.93,320,84.01,,Recognition,NFNets,
ECA_NFNetL2,56.72,30.12,384,84.7,,Recognition,NFNets,
ECA_NFNetL3,72.04,52.73,448,,,Recognition,NFNets,
PVT_V2B0,3.7,0.5802999999999999,224,70.5,561.593,Recognition,PVT_V2,
PVT_V2B1,14.0,2.14,224,78.7,392.408,Recognition,PVT_V2,
PVT_V2B2,25.4,4.07,224,82.0,210.476,Recognition,PVT_V2,
PVT_V2B2_linear,22.6,3.94,224,82.1,226.791,Recognition,PVT_V2,
PVT_V2B3,45.2,6.96,224,83.1,135.51,Recognition,PVT_V2,
PVT_V2B4,62.6,10.19,224,83.6,97.666,Recognition,PVT_V2,
PVT_V2B5,82.0,11.81,224,83.8,81.4798,Recognition,PVT_V2,
RegNetY040,20.65,3.98,224,82.3,749.277,Recognition,RegNetY,
RegNetY064,30.58,6.36,224,83.0,436.946,Recognition,RegNetY,
RegNetY080,39.18,7.97,224,83.17,513.43,Recognition,RegNetY,
RegNetY160,83.59,15.92,224,82.0,338.046,Recognition,RegNetY,
RegNetY320,145.05,32.29,224,82.5,188.508,Recognition,RegNetY,
RegNetZB16,9.72,1.44,224,79.868,751.035,Recognition,RegNetZ,
RegNetZC16,13.46,2.5,256,82.164,636.549,Recognition,RegNetZ,
RegNetZC16_EVO,13.49,2.55,256,81.9,,Recognition,RegNetZ,
RegNetZD32,27.58,5.96,256,83.422,459.204,Recognition,RegNetZ,
RegNetZD8,23.37,3.95,256,83.5,460.021,Recognition,RegNetZ,
RegNetZD8_EVO,23.46,4.61,256,83.42,,Recognition,RegNetZ,
RegNetZE8,57.7,9.88,256,84.5,274.97,Recognition,RegNetZ,
RepViT_M1,5.1,0.82,224,78.5,966.72,Recognition,RepViT,distill
RepViT_M1_deploy,5.07,0.82,224,78.5,1157.8,Recognition,RepViT,distill
RepViT_M2,8.28,1.35,224,80.6,846.682,Recognition,RepViT,distill
RepViT_M2_deploy,8.25,1.35,224,80.6,1027.5,Recognition,RepViT,distill
RepViT_M3,10.2,1.87,224,81.4,583.381,Recognition,RepViT,distill
RepViT_M3_deploy,10.12,1.87,224,81.4,748.154,Recognition,RepViT,distill
ResMLP12,15.0,3.02,224,77.8,928.402,Recognition,ResMLP,
ResMLP24,30.0,5.98,224,80.8,420.709,Recognition,ResMLP,
ResMLP36,116.0,8.94,224,81.1,309.513,Recognition,ResMLP,
ResMLP_B24,129.0,100.39,224,83.6,78.3015,Recognition,ResMLP,
ResMLP_B24,129.0,100.39,224,84.4,78.3015,Recognition,ResMLP,21k_ft1k
ResNest50,28.0,5.38,224,81.03,534.627,Recognition,ResNeSt,
ResNest101,49.0,13.33,256,82.83,257.074,Recognition,ResNeSt,
ResNest200,71.0,35.55,320,83.84,118.183,Recognition,ResNeSt,
ResNest269,111.0,77.42,416,84.54,61.167,Recognition,ResNeSt,
ResNet50D,25.58,4.33,224,80.53,930.214,Recognition,ResNetD,
ResNet101D,44.57,8.04,224,83.022,502.268,Recognition,ResNetD,
ResNet152D,60.21,11.75,224,83.68,353.279,Recognition,ResNetD,
ResNet200D,64.69,15.25,224,83.962,287.73,Recognition,ResNetD,
ResNet51Q,35.7,4.87,224,82.36,838.754,Recognition,ResNetQ,
ResNet61Q,36.8,5.96,224,,730.245,Recognition,ResNetQ,
ResNeXt50,25.0,4.23,224,79.768,1041.46,Recognition,ResNeXt,
ResNeXt50,25.0,4.23,224,82.182,1041.46,Recognition,ResNeXt,SWSL
ResNeXt50D,25.0,4.47,224,79.676,1010.94,Recognition,ResNeXt,
ResNeXt101,42.0,7.97,224,80.334,571.652,Recognition,ResNeXt,
ResNeXt101,42.0,7.97,224,83.23,571.652,Recognition,ResNeXt,SWSL
ResNeXt101W,89.0,16.41,224,79.308,367.431,Recognition,ResNeXt,
ResNeXt101W,89.0,16.41,224,84.284,367.431,Recognition,ResNeXt,SWSL
ResNeXt101W_64,83.46,15.46,224,82.46,377.83,Recognition,ResNeXt,
SwinTransformerV2Tiny_ns,28.3,4.69,224,81.8,289.205,Recognition,SwinTransformerV2,
SwinTransformerV2Small_ns,49.7,9.12,224,83.5,169.645,Recognition,SwinTransformerV2,
SwinTransformerV2Tiny_window8,28.3,5.99,256,81.8,275.547,Recognition,SwinTransformerV2,
SwinTransformerV2Tiny_window16,28.3,6.75,256,82.8,217.207,Recognition,SwinTransformerV2,
SwinTransformerV2Small_window8,49.7,11.63,256,83.7,157.559,Recognition,SwinTransformerV2,
SwinTransformerV2Small_window16,49.7,12.93,256,84.1,129.953,Recognition,SwinTransformerV2,
SwinTransformerV2Base_window8,87.9,20.44,256,84.2,126.294,Recognition,SwinTransformerV2,
SwinTransformerV2Base_window16,87.9,22.17,256,84.6,99.634,Recognition,SwinTransformerV2,
SwinTransformerV2Base_window16,87.9,22.17,256,86.2,99.634,Recognition,SwinTransformerV2,21k_ft1k
SwinTransformerV2Base_window24,87.9,55.89,384,87.1,35.0508,Recognition,SwinTransformerV2,21k_ft1k
SwinTransformerV2Large_window16,196.7,48.03,256,86.9,,Recognition,SwinTransformerV2,21k_ft1k
SwinTransformerV2Large_window24,196.7,117.1,384,87.6,,Recognition,SwinTransformerV2,21k_ft1k
TinyNetE,2.04,0.02522,106,59.86,2152.36,Recognition,TinyNet,
TinyNetD,2.34,0.05335,152,66.96,1905.56,Recognition,TinyNet,
TinyNetC,2.46,0.10321999999999999,184,71.23,1353.44,Recognition,TinyNet,
TinyNetB,3.73,0.20628,188,74.98,1196.06,Recognition,TinyNet,
TinyNetA,6.19,0.34374,192,77.65,981.976,Recognition,TinyNet,
TinyViT_5M,5.4,1.3,224,79.1,631.414,Recognition,TinyViT,distill
TinyViT_5M,5.4,1.3,224,80.7,631.414,Recognition,TinyViT,21k_ft1k
TinyViT_11M,11.0,2.0,224,81.5,509.818,Recognition,TinyViT,distill
TinyViT_11M,11.0,2.0,224,83.2,509.818,Recognition,TinyViT,21k_ft1k
TinyViT_21M,21.0,4.3,224,83.1,410.676,Recognition,TinyViT,distill
TinyViT_21M,21.0,4.3,224,84.8,410.676,Recognition,TinyViT,21k_ft1k
TinyViT_21M,21.0,13.8,384,86.2,199.458,Recognition,TinyViT,21k_ft1k
TinyViT_21M,21.0,27.0,512,86.5,122.846,Recognition,TinyViT,21k_ft1k
UniformerSmall32,22.0,3.66,224,83.4,577.334,Recognition,UniFormer,token_label
UniformerSmall64,22.0,3.66,224,82.9,562.794,Recognition,UniFormer,
UniformerSmall64,22.0,3.66,224,83.4,562.794,Recognition,UniFormer,token_label
UniformerSmallPlus32,24.0,4.24,224,83.4,546.82,Recognition,UniFormer,
UniformerSmallPlus32,24.0,4.24,224,83.9,546.82,Recognition,UniFormer,token_label
UniformerSmallPlus64,24.0,4.23,224,83.4,538.193,Recognition,UniFormer,
UniformerSmallPlus64,24.0,4.23,224,83.6,538.193,Recognition,UniFormer,token_label
UniformerBase32,50.0,8.32,224,85.1,272.485,Recognition,UniFormer,token_label
UniformerBase64,50.0,8.31,224,83.8,286.963,Recognition,UniFormer,
UniformerBase64,50.0,8.31,224,84.8,286.963,Recognition,UniFormer,token_label
UniformerLarge64,100.0,19.79,224,85.6,154.761,Recognition,UniFormer,token_label
UniformerLarge64,100.0,63.11,384,86.3,75.3487,Recognition,UniFormer,token_label
VanillaNet5,22.33,8.46,224,72.49,598.964,Recognition,VanillaNet,
VanillaNet5_deploy,15.52,5.17,224,72.49,798.199,Recognition,VanillaNet,
VanillaNet6,56.12,10.11,224,76.36,465.031,Recognition,VanillaNet,
VanillaNet6_deploy,32.51,6.0,224,76.36,655.944,Recognition,VanillaNet,
VanillaNet7,56.67,11.84,224,77.98,375.479,Recognition,VanillaNet,
VanillaNet7_deploy,32.8,6.9,224,77.98,527.723,Recognition,VanillaNet,
VanillaNet8,65.18,13.5,224,79.13,341.157,Recognition,VanillaNet,
VanillaNet8_deploy,37.1,7.75,224,79.13,479.328,Recognition,VanillaNet,
VanillaNet9,73.68,15.17,224,79.87,312.815,Recognition,VanillaNet,
VanillaNet9_deploy,41.4,8.59,224,79.87,443.464,Recognition,VanillaNet,
VanillaNet10,82.19,16.83,224,80.57,277.871,Recognition,VanillaNet,
VanillaNet10_deploy,45.69,9.43,224,80.57,408.082,Recognition,VanillaNet,
VanillaNet11,90.69,18.49,224,81.08,267.026,Recognition,VanillaNet,
VanillaNet11_deploy,50.0,10.27,224,81.08,377.239,Recognition,VanillaNet,
VanillaNet12,99.2,20.16,224,81.55,229.987,Recognition,VanillaNet,
VanillaNet12_deploy,54.29,11.11,224,81.55,358.076,Recognition,VanillaNet,
VanillaNet13,107.7,21.82,224,82.05,218.256,Recognition,VanillaNet,
VanillaNet13_deploy,58.59,11.96,224,82.05,334.244,Recognition,VanillaNet,
VOLO_d1,27.0,4.82,224,84.2,,Recognition,VOLO,
VOLO_d1,27.0,14.22,384,85.2,,Recognition,VOLO,
VOLO_d2,59.0,9.78,224,85.2,,Recognition,VOLO,
VOLO_d2,59.0,28.84,384,86.0,,Recognition,VOLO,
VOLO_d3,86.0,13.8,224,85.4,,Recognition,VOLO,
VOLO_d3,86.0,55.5,448,86.3,,Recognition,VOLO,
VOLO_d4,193.0,29.39,224,85.7,,Recognition,VOLO,
VOLO_d4,193.0,117.81,448,86.8,,Recognition,VOLO,
VOLO_d5,296.0,53.34,224,86.1,,Recognition,VOLO,
VOLO_d5,296.0,213.72,448,87.0,,Recognition,VOLO,
VOLO_d5,296.0,279.36,512,87.1,,Recognition,VOLO,
WaveMLP_T,17.0,2.47,224,80.9,523.4,Recognition,WaveMLP,
WaveMLP_S,30.0,4.55,224,82.9,203.445,Recognition,WaveMLP,
WaveMLP_M,44.0,7.92,224,83.3,147.155,Recognition,WaveMLP,
WaveMLP_B,63.0,10.26,224,83.6,,Recognition,WaveMLP,
EfficientDetD0,3.9,2.55,512,34.3,248.009,Detection,EfficientDet,
EfficientDetD0,3.9,2.55,512,35.1,248.009,Detection,EfficientDet,Det-AdvProp
EfficientDetD1,6.6,6.13,640,40.2,133.139,Detection,EfficientDet,
EfficientDetD1,6.6,6.13,640,40.8,133.139,Detection,EfficientDet,Det-AdvProp
EfficientDetD2,8.1,11.03,768,43.5,89.0523,Detection,EfficientDet,
EfficientDetD2,8.1,11.03,768,44.3,89.0523,Detection,EfficientDet,Det-AdvProp
EfficientDetD3,12.0,24.95,896,46.8,50.0498,Detection,EfficientDet,
EfficientDetD3,12.0,24.95,896,47.7,50.0498,Detection,EfficientDet,Det-AdvProp
EfficientDetD4,20.7,55.29,1024,49.3,28.0086,Detection,EfficientDet,
EfficientDetD4,20.7,55.29,1024,50.4,28.0086,Detection,EfficientDet,Det-AdvProp
EfficientDetD5,33.7,135.62,1280,51.2,,Detection,EfficientDet,
EfficientDetD5,33.7,135.62,1280,52.2,,Detection,EfficientDet,Det-AdvProp
EfficientDetD6,51.9,225.93,1280,52.1,,Detection,EfficientDet,
EfficientDetD7,51.9,325.34,1536,53.4,,Detection,EfficientDet,
EfficientDetD7X,77.0,410.87,1536,54.4,,Detection,EfficientDet,
EfficientDetLite0,3.2,0.98,320,27.5,599.616,Detection,EfficientDet,
EfficientDetLite1,4.2,1.97,384,32.6,369.273,Detection,EfficientDet,
EfficientDetLite2,5.3,3.38,448,36.2,278.263,Detection,EfficientDet,
EfficientDetLite3,8.4,7.5,512,39.9,180.871,Detection,EfficientDet,
EfficientDetLite3X,9.3,14.01,640,44.0,115.271,Detection,EfficientDet,
EfficientDetLite4,15.1,20.2,640,44.4,95.4122,Detection,EfficientDet,
YOLO_NAS_S,12.88,16.96,640,47.5,240.087,Detection,YOLO_NAS,
YOLO_NAS_S_use_reparam_conv_False,12.18,15.92,640,47.5,345.595,Detection,YOLO_NAS,
YOLO_NAS_M,33.86,47.12,640,51.55,128.96,Detection,YOLO_NAS,
YOLO_NAS_M_use_reparam_conv_False,31.92,43.91,640,51.55,167.935,Detection,YOLO_NAS,
YOLO_NAS_L,44.53,64.53,640,52.22,98.6069,Detection,YOLO_NAS,
YOLO_NAS_L_use_reparam_conv_False,42.02,59.95,640,52.22,131.11,Detection,YOLO_NAS,
YOLOR_CSP,52.9,60.25,640,50.0,118.746,Detection,YOLOR,
YOLOR_CSPX,99.8,111.11,640,51.5,67.9444,Detection,YOLOR,
YOLOR_P6,37.3,162.87,1280,52.5,49.3128,Detection,YOLOR,
YOLOR_W6,79.9,226.67,1280,53.6,40.2355,Detection,YOLOR,
YOLOR_E6,115.9,341.62,1280,50.3,21.5719,Detection,YOLOR,
YOLOR_D6,151.8,467.88,1280,50.8,16.6061,Detection,YOLOR,
YOLOV7_Tiny,6.23,2.9,416,33.3,845.903,Detection,YOLOV7,
YOLOV7_CSP,37.67,53.0,640,51.4,137.441,Detection,YOLOV7,
YOLOV7_X,71.41,95.0,640,53.1,82.0534,Detection,YOLOV7,
YOLOV7_W6,70.49,180.1,1280,54.9,49.9841,Detection,YOLOV7,
YOLOV7_E6,97.33,257.6,1280,56.0,31.3852,Detection,YOLOV7,
YOLOV7_D6,133.9,351.4,1280,56.6,26.1346,Detection,YOLOV7,
YOLOV7_E6E,151.9,421.7,1280,56.8,20.1331,Detection,YOLOV7,
YOLOV8_N,3.16,4.39,640,37.3,614.042,Detection,YOLOV8,
YOLOV8_S,11.17,14.33,640,44.9,349.528,Detection,YOLOV8,
YOLOV8_M,25.9,39.52,640,50.2,160.212,Detection,YOLOV8,
YOLOV8_L,43.69,82.65,640,52.9,104.452,Detection,YOLOV8,
YOLOV8_X,68.23,129.0,640,53.9,66.0428,Detection,YOLOV8,
YOLOV8_X6,97.42,522.6,1280,56.7,17.4368,Detection,YOLOV8,
YOLOXNano,0.91,0.53,416,25.8,930.57,Detection,YOLOX,
YOLOXTiny,5.06,3.22,416,32.8,745.2,Detection,YOLOX,
YOLOXS,9.0,13.39,640,40.5,380.38,Detection,YOLOX,
YOLOXM,25.3,36.84,640,46.9,181.084,Detection,YOLOX,
YOLOXL,54.2,77.76,640,49.7,111.517,Detection,YOLOX,
YOLOXX,99.1,140.87,640,51.5,62.3189,Detection,YOLOX,
GPT2_Base,163.04,146.42,50257,35.13,51.4483,Language,GPT2,
GPT2_Medium,406.29,415.07,50257,15.6,21.756,Language,GPT2,
GPT2_Large,838.36,890.28,50257,10.87,,Language,GPT2,
GPT2_XLarge,1638.0,1758.3,50257,8.63,,Language,GPT2,
